Question,Answer
"[외국인 대학원생 참여자격 문의]
안녕하세요
외국인 대학원생 참여자격관련하여 문의드립니다.
신입생이 아닌 재학생으로 체류기간 연장 신청을 한 경우로 발급된 외국인등록증 확인해보니 공백기간이 생겨 문의드립니다.
비자는 D-2입니다.
- 만료일자: 3월 31일
- 허가일자: 4월 8일
(공백기간: 4월 1일~4월7일)
학교에서 단체로 진행하여 사증발급확인서 발급이 불가능하였습니다.
허가일자에 맞춰 참여기간을 4월 8일로 해야하는게 맞는지
아니면 Q&A 질문 중 13316번의 ""심사 완료시까지는 기존체류자격으로 체류 가능하기에 참여 가능합니다."" 답변처럼
3월 1일자로 참여기간 입력이 가능한지 문의드립니다.
감사합니다.",답변이 등록되지 않았습니다.
"[해외석학 초빙 보딩패스 문의(강사료만 지급시)]
안녕하세요?
해외석학 초빙 강사료만 지급시 보딩패스를 받아야 하는지 궁금합니다.
여권사본 및 강연관련 증빙은 다 구비하여 지출할 예정입니다.
항공료 지급시에는 구비하겠지만, 강사료만 지출할때도 필요한지 답변 부탁드립니다.
감사합니다.",답변이 등록되지 않았습니다.
"[대학원혁신 사업비 관련 문의]
안녕하세요.
대학원혁신 사업비 관련하여 문의드립니다.
1. 해외 학술활동 지원 사업 진행 시 항공권과 체재비를 지원하고자 합니다.
이때 체재비는 최대 15일까지만 지원하고자 합니다.
첫번째, 15일을 초과하여 개인경비로 해외 학술활동을 이어가도 되는지
두번째, 15일을 초과하여 개인경비로 해외 학술활동을 이어갈 떄 왕복항공권 지원에도 문제가 없는지
2. 대학원혁신 사업비로 사업을 지원할 경우, RISE, 글로컬 등 기타 사업 예산과의 중복 지원이 가능한지 여부도 확인 부탁드립니다.
감사합니다.",답변이 등록되지 않았습니다.
"[해외학자 항공권 지원 관련 문의]
안녕하세요.
사업단 주최로 개최되는 국제학술대회 초청 해외학자의 항공권 지원 관련 문의드립니다.
학술대회 일정에 맞춰 입국하셨다가 3개월 정도 체류 후 출국하실 경우에 왕복항공권 지원이 가능할지 문의드립니다.
가능할 경우, 추가로 구비해야 할 서류가 있다면 알려주시면 감사하겠습니다.
답변에 미리 감사드립니다!","BKS관리자
2026-04-27 15:19:49
안녕하십니까

BK21사업팀입니다.

항공권은 왕복 기준 항공권 지원 가능합니다.

단, 개인 사유에 의한 체류 기간 체제비 지원 불가합니다.

감사합니다."
"[장학금]
A,B 학생 모두 BK21 참여연구원입니다.
A학생이 3-4월 장학금 지급 받은 후
5-8월 장학금은 A학생이 아닌 B학생이 지급 받을 수 있을까요?","BKS관리자
2026-04-27 15:17:04
안녕하십니까

BK21사업팀입니다.

휴학, 자퇴, 학기 중 취업 등의 사유 발생 시 교육연구단의 장 승인을 받아 지원 중단은 가능합니다.

단, 새로운 지원대학원생은 최소 1개학기(6개월) 이상 지원이 가능한 학생으로 선발되어야 합니다.

감사합니다."
"[조사연구비]
안녕하세요,
사업단에서
연구활동 및 산학협력활동지원비 비목으로 조사연구비를 집행하고자 합니다.
업체를 통해 행사장 방문객 조사를 통한 데이터 수집을 하는데,
조사관리자 및 조사원의 인건비와 답례품비를 조사연구비에서 집행할 수 있는지 문의드립니다.
해당 데이터는 본 사업단의 연구목적에 부합하는 행사의 방문객으로부터 수집합니다.
감사합니다.",답변이 등록되지 않았습니다.
"[장기연수 MOU-16390 답변 관련]
안녕하세요 미래인재양성사업단입니다.
체결기관과의 MOU 체결 시점이 현재 4단계가 아닌 1~3단계에 진행했던 MOU 경우도 상관없는지 문의드렸었는데
답변을 아래와 같이 주셔서 추가 문의드립니다.
1~3단계에 해외 기관과 맺은 MOU가 MOU 체결 한정 기간이 없을 경우 4단계에서 유효한 것으로 처리해도 될 지 확인 요청드립니다.
BKS관리자
2026-04-24 13:40:24
안녕하십니까 BK21사업팀입니다. MOU 기간을 확인하여 주시기 바랍니다. 감사합니다.",답변이 등록되지 않았습니다.
"[국제화경비 관련 문의]
장기연수와 관련하여 아래와 같이 문의드립니다.
1. 장기연수의 경우 MOU 미체결 기관이라도 초청장이 있는 경우 지원이 가능한지 문의드립니다.
2. ‘15일 초과’ 기준이 공식적인 연수 일정 기준인지, 또는 출국일과 입국일을 포함한 전체 체류 기간 기준인지 문의드립니다.
답변에 미리 감사드립니다.","BKS관리자
2026-04-24 16:08:44
안녕하세요. BK21사업팀입니다.
1. 기관명의 공식적인 초청장을 구비한 경우에도 지원 가능합니다.
2. 공식적인 연수 일정 기준입니다.

BKS관리자
2026-04-27 08:51:24
(수정답변)

2. 15일 초과 기준은 출국일자 및 입국일자를 기준으로 산정바랍니다.

또한, 개인적인 일정으로 인한 출국은 전일제 요건(주40시간 이상 교육 및 연구에 전념)에 위배될 수 있음을 유의하시기 바랍니다.

감사합니다."
"[연구년 교수의 국제학회 여비 지원 관련]
안녕하세요.
1개학기 연구년인 참여교수가 참여대학원생 지도차 국제학회 참석하는 경우입니다.
교수님의 출발지는 한국이나, 리턴국가가 연구년 국가(미국)인 경우 항공료 집행 문제 없는지 문의드립니다.
감사합니다.","BKS관리자
2026-04-24 16:06:31
안녕하세요. BK21사업팀입니다.
지도하는 참여대학원생이 발표논문의 저자로 참석해야 지원 가능합니다.
리턴국가가 연구년 국가(미국)인 사실을 증명할 수 있는,
증빙 자료와 사유서를 구비해 주시기 바랍니다.

BKS관리자
2026-04-27 08:55:23
(추가 답변)

해당 교수님께서 참여교수 신분을 유지하여야 합니다.

항공권 지원은 소속기관 소재지 - 학회개최지 왕복 기준입니다.

출국국가와 입국국가가 다른 경우,

기준을 초과하는 금액(차액)은 지원 불가합니다.

감사합니다."
"[장기연수 중 현지 학회 참여시 비목 문의]
안녕하십니까? 미래인재양성 교육연구팀입니다.
저희 연구팀에서 올해 8월 대학원생을 선발하여 약 3주간 해외장기연수를 보내려고 계획 중에 있습니다.(호주)
왕복항공료, 체재비는 장기연수 비목에서 지출할 예정입니다.
만약 현지 연수 중 동일 현지 국가에서 개최되는 학술대회에 참석하고자 한다면 어떻게 진행되어야 하는지 문의 드립니다.
(장기연수와 기간 중복으로 체재비는 장기연수 비목에서만 지급예정입니다.)
1. 학회등록비-단기연수 비목에서 지출
2. 학회등록비-장기연수에 포함되는 일정으로 장기연수 비목에서 지출
확인 부탁드리며,
늘 친절한 답변에 감사 드립니다.","BKS관리자
2026-04-24 15:48:24
안녕하십니까

BK21사업팀입니다.

학회등록비는 단기연수 비목에서 지원 가능합니다.

감사합니다."
